text,category,severity
My husband beats me,Domestic Violence,High
My manager sends inappropriate messages,Workplace Harassment,Medium
Someone blackmailed me online,Cyber Crime,High
They demand money after marriage,Dowry Harassment,Medium
A man follows me daily,Stalking/Threat,Medium
My husband shouts at me daily,Domestic Violence,Low
He insults me in front of others,Domestic Violence,Low
He controls all my money,Domestic Violence,Medium
He does not allow me to meet my parents,Domestic Violence,Medium
He pushes me during arguments,Domestic Violence,Medium
He slapped me yesterday,Domestic Violence,High
He beats me frequently,Domestic Violence,High
He threatened to kill me,Domestic Violence,High
My in-laws torture me mentally,Domestic Violence,Medium
They lock me inside the house,Domestic Violence,High
He forces me to quit my job,Domestic Violence,Medium
He abuses me verbally,Domestic Violence,Low
He broke my phone during a fight,Domestic Violence,Medium
He hits me when he is angry,Domestic Violence,High
I am scared of my husband,Domestic Violence,Medium
My manager sends inappropriate messages,Workplace Harassment,Medium
He makes comments about my appearance,Workplace Harassment,Low
My boss touches me without permission,Workplace Harassment,High
I am asked for favors to get promotion,Workplace Harassment,High
My colleague spreads rumors about me,Workplace Harassment,Medium
They show inappropriate videos at work,Workplace Harassment,Medium
I feel uncomfortable at my office,Workplace Harassment,Low
My supervisor threatens to fire me,Workplace Harassment,High
He keeps staring at me,Workplace Harassment,Low
I receive late night calls from boss,Workplace Harassment,Medium
My salary is reduced unfairly,Workplace Harassment,Medium
They insult me in meetings,Workplace Harassment,Low
I was forced to sit close to him,Workplace Harassment,Medium
He blocked my leave request unfairly,Workplace Harassment,Low
I am mentally stressed due to office behavior,Workplace Harassment,Medium
Someone hacked my social media account,Cyber Crime,Medium
A person is blackmailing me online,Cyber Crime,High
He is threatening to leak my photos,Cyber Crime,High
I received fake job offers asking for money,Cyber Crime,Medium
Someone created a fake profile using my name,Cyber Crime,Medium
I am getting abusive messages online,Cyber Crime,Low
My private pictures were shared without consent,Cyber Crime,High
I am being cyber stalked daily,Cyber Crime,Medium
A stranger is sending obscene videos,Cyber Crime,Medium
Someone is spreading false rumors about me online,Cyber Crime,Low
My bank details were misused,Cyber Crime,High
I am being harassed through emails,Cyber Crime,Low
My WhatsApp was accessed without permission,Cyber Crime,Medium
Someone is demanding money to delete my photos,Cyber Crime,High
I feel unsafe because of online threats,Cyber Crime,Medium
My in-laws demand money from my parents,Dowry Harassment,Medium
They ask for a car after marriage,Dowry Harassment,Medium
I am harassed for bringing less dowry,Dowry Harassment,Medium
My husband threatens divorce for money,Dowry Harassment,High
They torture me for gold and property,Dowry Harassment,High
I am insulted daily for dowry issues,Dowry Harassment,Low
They force my family to pay more money,Dowry Harassment,High
I am beaten because of dowry,Dowry Harassment,High
They refuse to accept me without money,Dowry Harassment,Medium
My husband supports dowry demands,Dowry Harassment,Medium
I feel mentally stressed due to dowry pressure,Dowry Harassment,Medium
They threaten to send me back to my parents,Dowry Harassment,Medium
I am isolated because I did not bring gifts,Dowry Harassment,Low
My in-laws insult my family for dowry,Dowry Harassment,Low
They keep demanding expensive gifts,Dowry Harassment,Medium
A relative touched me inappropriately,Child Abuse,High
My teacher behaves in a wrong way,Child Abuse,Medium
Someone forces me to watch adult content,Child Abuse,High
I am scared of my neighbor,Child Abuse,Medium
He threatened me to stay silent,Child Abuse,High
An adult sends me inappropriate messages,Child Abuse,Medium
I was forced to do something uncomfortable,Child Abuse,High
Someone tries to be alone with me always,Child Abuse,Medium
I am afraid to go to school,Child Abuse,Medium
A man gives me gifts to get close,Child Abuse,Low
I feel unsafe around my uncle,Child Abuse,Medium
Someone shared my photos without permission,Child Abuse,High
I was physically hurt by an adult,Child Abuse,High
